"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly" 1 2 3
"Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Geography: Canada, Geographical region of Canada, Province or territory"

"","","","Canada"
"Housing estimates","Type of unit","Reference period","Unadjusted"
"",,,"Units"
"Housing completions","Single-detached","Q3 1999","26,917"
,,"Q4 1999","25,714"
,,"Q1 2000","18,191"
,,"Q2 2000","19,651"
,,"Q3 2000","26,892"
,,"Q4 2000","25,343"
,,"Q1 2001","18,961"
,,"Q2 2001","20,488"
,,"Q3 2001","27,880"
,,"Q4 2001","27,058"
,,"Q1 2002","21,724"
,,"Q2 2002","23,528"
,,"Q3 2002","35,233"
,,"Q4 2002","33,581"
,,"Q1 2003","26,171"
,,"Q2 2003","26,713"
,,"Q3 2003","34,593"
,,"Q4 2003","33,661"
,,"Q1 2004","27,390"
,,"Q2 2004","27,587"
,,"Q3 2004","35,481"
,,"Q4 2004","35,244"
,,"Q1 2005","25,982"
,,"Q2 2005","27,811"
,,"Q3 2005","31,583"
,,"Q4 2005","32,527"
,,"Q1 2006","25,779"
,,"Q2 2006","26,635"
,,"Q3 2006","32,230"
,,"Q4 2006","31,006"
,,"Q1 2007","24,758"
,,"Q2 2007","26,831"
,,"Q3 2007","30,902"
,,"Q4 2007","33,213"
,,"Q1 2008","22,782"
,,"Q2 2008","24,073"
,,"Q3 2008","29,219"
,,"Q4 2008","27,724"
,,"Q1 2009","18,192"
,,"Q2 2009","18,367"
,,"Q3 2009","19,848"
,,"Q4 2009","21,366"
,,"Q1 2010","18,336"
,,"Q2 2010","21,357"
,,"Q3 2010","25,824"
,,"Q4 2010","25,217"
,,"Q1 2011","17,545"
,,"Q2 2011","18,387"
,,"Q3 2011","21,969"
,,"Q4 2011","21,897"
,,"Q1 2012","17,323"
,,"Q2 2012","19,057"
,,"Q3 2012","22,536"
,,"Q4 2012","21,578"
,,"Q1 2013","18,070"
,,"Q2 2013","18,691"
,,"Q3 2013","20,821"
,,"Q4 2013","21,386"
,,"Q1 2014","16,873"
,,"Q2 2014","17,491"
,,"Q3 2014","19,483"
,,"Q4 2014","20,929"
,,"Q1 2015","16,970"
,,"Q2 2015","16,553"
,,"Q3 2015","17,200"
,,"Q4 2015","18,798"
,,"Q1 2016","15,386"
,,"Q2 2016","16,666"
,,"Q3 2016","16,721"
,,"Q4 2016","18,671"
,,"Q1 2017","16,212"
,,"Q2 2017","17,661"
,,"Q3 2017","19,970"
,,"Q4 2017","20,620"
,,"Q1 2018","16,858"
,,"Q2 2018","17,567"
,,"Q3 2018","18,058"
,,"Q4 2018","17,936"
,,"Q1 2019","15,271"
,,"Q2 2019","15,275"
,,"Q3 2019","14,540"


Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to CMHC's End-Use License Agreement.
3,"For additional information and definitions, refer to Starts and Completions Survey Methodology and Definitions."

"How to cite: Statistics Canada. Table 34-10-0135-01 Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013501
DOI: https://doi.org/10.25318/3410013501-eng